,text,sentiment,text_lower,text_no_punct,text_no_digits,text_no_urls,tokens,tokens_no_stopwords,lemmatized_tokens,cleaned_text
0,"Awful, completely useless.",negative,"awful, completely useless.",awful completely useless,awful completely useless,awful completely useless,"['awful', 'completely', 'useless']","['awful', 'completely', 'useless']","['awful', 'completely', 'useless']",awful completely useless
1,Highly recommend to everyone.,positive,highly recommend to everyone.,highly recommend to everyone,highly recommend to everyone,highly recommend to everyone,"['highly', 'recommend', 'to', 'everyone']","['highly', 'recommend', 'everyone']","['highly', 'recommend', 'everyone']",highly recommend everyone
2,Worst experience ever.,negative,worst experience ever.,worst experience ever,worst experience ever,worst experience ever,"['worst', 'experience', 'ever']","['worst', 'experience', 'ever']","['worst', 'experience', 'ever']",worst experience ever
3,Top-notch service and product.,positive,top-notch service and product.,topnotch service and product,topnotch service and product,topnotch service and product,"['topnotch', 'service', 'and', 'product']","['topnotch', 'service', 'product']","['topnotch', 'service', 'product']",topnotch service product
4,Not worth the money.,negative,not worth the money.,not worth the money,not worth the money,not worth the money,"['not', 'worth', 'the', 'money']","['worth', 'money']","['worth', 'money']",worth money
5,One star.,negative,one star.,one star,one star,one star,"['one', 'star']","['one', 'star']","['one', 'star']",one star
6,Will never buy again.,negative,will never buy again.,will never buy again,will never buy again,will never buy again,"['will', 'never', 'buy', 'again']","['never', 'buy']","['never', 'buy']",never buy
7,Amazing experience!,positive,amazing experience!,amazing experience,amazing experience,amazing experience,"['amazing', 'experience']","['amazing', 'experience']","['amazing', 'experience']",amazing experience
8,Decent but not outstanding.,neutral,decent but not outstanding.,decent but not outstanding,decent but not outstanding,decent but not outstanding,"['decent', 'but', 'not', 'outstanding']","['decent', 'outstanding']","['decent', 'outstanding']",decent outstanding
9,Will never buy again.,negative,will never buy again.,will never buy again,will never buy again,will never buy again,"['will', 'never', 'buy', 'again']","['never', 'buy']","['never', 'buy']",never buy
10,Satisfactory but not impressive.,neutral,satisfactory but not impressive.,satisfactory but not impressive,satisfactory but not impressive,satisfactory but not impressive,"['satisfactory', 'but', 'not', 'impressive']","['satisfactory', 'impressive']","['satisfactory', 'impressive']",satisfactory impressive
11,Very satisfied and happy.,positive,very satisfied and happy.,very satisfied and happy,very satisfied and happy,very satisfied and happy,"['very', 'satisfied', 'and', 'happy']","['satisfied', 'happy']","['satisfied', 'happy']",satisfied happy
12,Five stars!,positive,five stars!,five stars,five stars,five stars,"['five', 'stars']","['five', 'stars']","['five', 'star']",five star
13,Fantastic product and great service.,positive,fantastic product and great service.,fantastic product and great service,fantastic product and great service,fantastic product and great service,"['fantastic', 'product', 'and', 'great', 'service']","['fantastic', 'product', 'great', 'service']","['fantastic', 'product', 'great', 'service']",fantastic product great service
14,"Bad quality, poor service.",negative,"bad quality, poor service.",bad quality poor service,bad quality poor service,bad quality poor service,"['bad', 'quality', 'poor', 'service']","['bad', 'quality', 'poor', 'service']","['bad', 'quality', 'poor', 'service']",bad quality poor service
15,Decent but not outstanding.,neutral,decent but not outstanding.,decent but not outstanding,decent but not outstanding,decent but not outstanding,"['decent', 'but', 'not', 'outstanding']","['decent', 'outstanding']","['decent', 'outstanding']",decent outstanding
16,Moderate satisfaction.,neutral,moderate satisfaction.,moderate satisfaction,moderate satisfaction,moderate satisfaction,"['moderate', 'satisfaction']","['moderate', 'satisfaction']","['moderate', 'satisfaction']",moderate satisfaction
17,Exceeded my expectations.,positive,exceeded my expectations.,exceeded my expectations,exceeded my expectations,exceeded my expectations,"['exceeded', 'my', 'expectations']","['exceeded', 'expectations']","['exceeded', 'expectation']",exceeded expectation
18,One star.,negative,one star.,one star,one star,one star,"['one', 'star']","['one', 'star']","['one', 'star']",one star
19,Amazing experience!,positive,amazing experience!,amazing experience,amazing experience,amazing experience,"['amazing', 'experience']","['amazing', 'experience']","['amazing', 'experience']",amazing experience
20,Moderate satisfaction.,neutral,moderate satisfaction.,moderate satisfaction,moderate satisfaction,moderate satisfaction,"['moderate', 'satisfaction']","['moderate', 'satisfaction']","['moderate', 'satisfaction']",moderate satisfaction
21,One star.,negative,one star.,one star,one star,one star,"['one', 'star']","['one', 'star']","['one', 'star']",one star
22,"Average product, average service.",neutral,"average product, average service.",average product average service,average product average service,average product average service,"['average', 'product', 'average', 'service']","['average', 'product', 'average', 'service']","['average', 'product', 'average', 'service']",average product average service
23,Just fine for the price.,neutral,just fine for the price.,just fine for the price,just fine for the price,just fine for the price,"['just', 'fine', 'for', 'the', 'price']","['fine', 'price']","['fine', 'price']",fine price
24,"Meets expectations, nothing more.",neutral,"meets expectations, nothing more.",meets expectations nothing more,meets expectations nothing more,meets expectations nothing more,"['meets', 'expectations', 'nothing', 'more']","['meets', 'expectations', 'nothing']","['meet', 'expectation', 'nothing']",meet expectation nothing
25,"Awful, completely useless.",negative,"awful, completely useless.",awful completely useless,awful completely useless,awful completely useless,"['awful', 'completely', 'useless']","['awful', 'completely', 'useless']","['awful', 'completely', 'useless']",awful completely useless
26,Highly recommend to everyone.,positive,highly recommend to everyone.,highly recommend to everyone,highly recommend to everyone,highly recommend to everyone,"['highly', 'recommend', 'to', 'everyone']","['highly', 'recommend', 'everyone']","['highly', 'recommend', 'everyone']",highly recommend everyone
27,"It's okay, nothing special.",neutral,"it's okay, nothing special.",its okay nothing special,its okay nothing special,its okay nothing special,"['its', 'okay', 'nothing', 'special']","['okay', 'nothing', 'special']","['okay', 'nothing', 'special']",okay nothing special
28,Amazing experience!,positive,amazing experience!,amazing experience,amazing experience,amazing experience,"['amazing', 'experience']","['amazing', 'experience']","['amazing', 'experience']",amazing experience
29,Highly recommend to everyone.,positive,highly recommend to everyone.,highly recommend to everyone,highly recommend to everyone,highly recommend to everyone,"['highly', 'recommend', 'to', 'everyone']","['highly', 'recommend', 'everyone']","['highly', 'recommend', 'everyone']",highly recommend everyone
30,"Terrible quality, very disappointed.",negative,"terrible quality, very disappointed.",terrible quality very disappointed,terrible quality very disappointed,terrible quality very disappointed,"['terrible', 'quality', 'very', 'disappointed']","['terrible', 'quality', 'disappointed']","['terrible', 'quality', 'disappointed']",terrible quality disappointed
31,Fantastic product and great service.,positive,fantastic product and great service.,fantastic product and great service,fantastic product and great service,fantastic product and great service,"['fantastic', 'product', 'and', 'great', 'service']","['fantastic', 'product', 'great', 'service']","['fantastic', 'product', 'great', 'service']",fantastic product great service
32,"Meets expectations, nothing more.",neutral,"meets expectations, nothing more.",meets expectations nothing more,meets expectations nothing more,meets expectations nothing more,"['meets', 'expectations', 'nothing', 'more']","['meets', 'expectations', 'nothing']","['meet', 'expectation', 'nothing']",meet expectation nothing
